year,month,label,category,ventes,ventes_yoy,inscriptions,inscriptions_yoy,prix,prix_yoy,jours,jours_delta,ventes_ytd,url
2019,8,Août 2019,copropriete,774,,,,345000,,,,,https://apciqca-152af.kxcdn.com/wp-content/uploads/sites/4/2019/09/201908-tableaux-web-mensuels-fr.pdf
2019,8,Août 2019,plex,251,,,,575000,,,,,https://apciqca-152af.kxcdn.com/wp-content/uploads/sites/4/2019/09/201908-tableaux-web-mensuels-fr.pdf
2019,9,Septembre 2019,copropriete,766,9.0,3200,-22.0,356750,10.0,69,-16.0,7797,https://com.apciq.ca/sam/pdf/stats/2019/tableaux-web-201909-fr.pdf
2019,9,Septembre 2019,plex,268,17.0,1147,-20.0,615000,9.0,57,-16.0,2520,https://com.apciq.ca/sam/pdf/stats/2019/tableaux-web-201909-fr.pdf
2019,10,Octobre 2019,copropriete,816,1.0,3183,-20.0,355250,8.0,60,-18.0,8608,https://com.apciq.ca/sam/pdf/stats/tableaux-web-201910-fr.pdf
2019,10,Octobre 2019,plex,320,19.0,1153,-22.0,611250,8.0,73,10.0,2835,https://com.apciq.ca/sam/pdf/stats/tableaux-web-201910-fr.pdf
2019,11,Novembre 2019,copropriete,831,10.0,3006,-23.0,360000,18.0,65,-16.0,9436,https://com.apciq.ca/sam/pdf/stats/2019/tableaux-web-201911-fr.pdf
2019,11,Novembre 2019,plex,305,3.0,1122,-25.0,619000,11.0,59,-8.0,3137,https://com.apciq.ca/sam/pdf/stats/2019/tableaux-web-201911-fr.pdf
2019,12,Décembre 2019,copropriete,718,23.0,2551,-26.0,360000,13.0,73,-12.0,10154,https://com.apciq.ca/sam/pdf/stats/2019/tableaux-web-201912-fr.pdf
2019,12,Décembre 2019,plex,284,19.0,928,-28.0,652000,13.0,70,-4.0,3420,https://com.apciq.ca/sam/pdf/stats/2019/tableaux-web-201912-fr.pdf
2020,1,Janvier 2020,copropriete,663,21.0,2588,-32.0,369000,18.0,71,-14.0,663,https://com.apciq.ca/sam/pdf/stats/2020/stats-202001-fr.pdf
2020,1,Janvier 2020,plex,214,20.0,927,-33.0,647000,17.0,66,-9.0,214,https://com.apciq.ca/sam/pdf/stats/2020/stats-202001-fr.pdf
2020,2,Février 2020,copropriete,931,9.0,3592,-12.0,380000,17.0,57,-18.0,1594,https://com.apciq.ca/sam/pdf/stats/2020/stats-202002-fr.pdf
2020,2,Février 2020,plex,286,25.0,1313,-11.0,651500,11.0,56,-19.0,500,https://com.apciq.ca/sam/pdf/stats/2020/stats-202002-fr.pdf
2020,3,Mars 2020,copropriete,992,-8.0,2576,-38.0,385000,20.0,48,-17.0,2582,https://com.apciq.ca/sam/pdf/stats/2020/stats-202003-fr.pdf
2020,3,Mars 2020,plex,307,7.0,982,-36.0,670000,18.0,46,-19.0,806,https://com.apciq.ca/sam/pdf/stats/2020/stats-202003-fr.pdf
2020,5,Mai 2020,copropriete,518,-49.0,3017,-22.0,369900,8.0,59,-7.0,3420,https://com.apciq.ca/sam/pdf/stats/2020/stats-202005-fr.pdf
2020,5,Mai 2020,plex,155,-61.0,1012,-28.0,656500,10.0,66,2.0,1055,https://com.apciq.ca/sam/pdf/stats/2020/stats-202005-fr.pdf
2020,6,Juin 2020,copropriete,856,0.0,3595,3.0,390000,18.0,42,-23.0,4271,https://com.apciq.ca/sam/pdf/stats/2020/stats-202006-fr.pdf
2020,6,Juin 2020,plex,279,-9.0,1035,-15.0,675000,15.0,58,-23.0,1328,https://com.apciq.ca/sam/pdf/stats/2020/stats-202006-fr.pdf
